ds,y,sku,is_weekend,day_of_week,valentines_day,bfcm_week
2024-06-08,185,TOY_SKU_001,1,5,0,0
2024-06-08,115,TOY_SKU_002,1,5,0,0
2024-06-08,194,TOY_SKU_003,1,5,0,0
2024-06-08,24,TOY_SKU_004,1,5,0,0
2024-06-08,90,TOY_SKU_005,1,5,0,0
2024-06-08,58,TOY_SKU_006,1,5,0,0
2024-06-08,148,TOY_SKU_007,1,5,0,0
2024-06-08,17,TOY_SKU_008,1,5,0,0
2024-06-08,98,TOY_SKU_009,1,5,0,0
2024-06-08,142,TOY_SKU_010,1,5,0,0
2024-06-08,88,TOY_SKU_011,1,5,0,0
2024-06-08,102,TOY_SKU_012,1,5,0,0
2024-06-08,301,TOY_SKU_013,1,5,0,0
2024-06-08,81,TOY_SKU_014,1,5,0,0
2024-06-08,212,TOY_SKU_015,1,5,0,0
2024-06-08,169,TOY_SKU_016,1,5,0,0
2024-06-08,77,TOY_SKU_017,1,5,0,0
2024-06-08,96,TOY_SKU_018,1,5,0,0
2024-06-08,193,TOY_SKU_019,1,5,0,0
2024-06-08,149,TOY_SKU_020,1,5,0,0
2024-06-08,102,TOY_SKU_021,1,5,0,0
2024-06-08,73,TOY_SKU_022,1,5,0,0
2024-06-08,217,TOY_SKU_023,1,5,0,0
2024-06-08,89,TOY_SKU_024,1,5,0,0
2024-06-08,217,TOY_SKU_025,1,5,0,0
2024-06-08,76,TOY_SKU_026,1,5,0,0
2024-06-08,79,TOY_SKU_027,1,5,0,0
2024-06-08,78,TOY_SKU_028,1,5,0,0
2024-06-08,241,TOY_SKU_029,1,5,0,0
2024-06-08,149,TOY_SKU_030,1,5,0,0
2024-06-08,101,TOY_SKU_031,1,5,0,0
2024-06-08,130,TOY_SKU_032,1,5,0,0
2024-06-08,202,TOY_SKU_033,1,5,0,0
2024-06-08,135,TOY_SKU_034,1,5,0,0
2024-06-08,64,TOY_SKU_035,1,5,0,0
2024-06-08,120,TOY_SKU_036,1,5,0,0
2024-06-08,65,TOY_SKU_037,1,5,0,0
2024-06-08,172,TOY_SKU_038,1,5,0,0
2024-06-08,70,TOY_SKU_039,1,5,0,0
2024-06-08,125,TOY_SKU_040,1,5,0,0
2024-06-08,130,TOY_SKU_041,1,5,0,0
2024-06-08,119,TOY_SKU_042,1,5,0,0
2024-06-08,108,TOY_SKU_043,1,5,0,0
2024-06-08,136,TOY_SKU_044,1,5,0,0
2024-06-08,242,TOY_SKU_045,1,5,0,0
2024-06-08,132,TOY_SKU_046,1,5,0,0
2024-06-08,219,TOY_SKU_047,1,5,0,0
2024-06-08,175,TOY_SKU_048,1,5,0,0
2024-06-08,161,TOY_SKU_049,1,5,0,0
2024-06-08,143,TOY_SKU_050,1,5,0,0
2024-06-09,223,TOY_SKU_001,1,6,0,0
2024-06-09,121,TOY_SKU_002,1,6,0,0
2024-06-09,144,TOY_SKU_003,1,6,0,0
2024-06-09,27,TOY_SKU_004,1,6,0,0
2024-06-09,92,TOY_SKU_005,1,6,0,0
2024-06-09,60,TOY_SKU_006,1,6,0,0
2024-06-09,195,TOY_SKU_007,1,6,0,0
2024-06-09,21,TOY_SKU_008,1,6,0,0
2024-06-09,97,TOY_SKU_009,1,6,0,0
2024-06-09,186,TOY_SKU_010,1,6,0,0
2024-06-09,95,TOY_SKU_011,1,6,0,0
2024-06-09,109,TOY_SKU_012,1,6,0,0
2024-06-09,281,TOY_SKU_013,1,6,0,0
2024-06-09,61,TOY_SKU_014,1,6,0,0
2024-06-09,156,TOY_SKU_015,1,6,0,0
2024-06-09,190,TOY_SKU_016,1,6,0,0
2024-06-09,92,TOY_SKU_017,1,6,0,0
2024-06-09,102,TOY_SKU_018,1,6,0,0
2024-06-09,221,TOY_SKU_019,1,6,0,0
2024-06-09,136,TOY_SKU_020,1,6,0,0
2024-06-09,96,TOY_SKU_021,1,6,0,0
2024-06-09,95,TOY_SKU_022,1,6,0,0
2024-06-09,229,TOY_SKU_023,1,6,0,0
2024-06-09,95,TOY_SKU_024,1,6,0,0
2024-06-09,250,TOY_SKU_025,1,6,0,0
2024-06-09,55,TOY_SKU_026,1,6,0,0
2024-06-09,81,TOY_SKU_027,1,6,0,0
2024-06-09,74,TOY_SKU_028,1,6,0,0
2024-06-09,229,TOY_SKU_029,1,6,0,0
2024-06-09,122,TOY_SKU_030,1,6,0,0
2024-06-09,133,TOY_SKU_031,1,6,0,0
2024-06-09,148,TOY_SKU_032,1,6,0,0
2024-06-09,193,TOY_SKU_033,1,6,0,0
2024-06-09,150,TOY_SKU_034,1,6,0,0
2024-06-09,82,TOY_SKU_035,1,6,0,0
2024-06-09,129,TOY_SKU_036,1,6,0,0
2024-06-09,60,TOY_SKU_037,1,6,0,0
2024-06-09,134,TOY_SKU_038,1,6,0,0
2024-06-09,68,TOY_SKU_039,1,6,0,0
